group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,min_survey_date,max_survey_date,target_assemblage,species_code,size_bin,total,num_plots_sampled,method_code,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,site_type,last_updated
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,EVATRO,90,2,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,EVATRO,NM,4,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,EVATRO,30,2,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,EVATRO,40,8,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,EVATRO,50,2,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,EVATRO,60,2,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,EVATRO,70,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,EVATRO,80,1,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,90,4,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
UW,Manchester State Park; Central Puget Sound,MAN,47.57688141,-122.54411,47.57688141,-122.54411,3490,2014,Summer,SU14,134,6/28/2014,6/28/2014,sea_star,PISOCH,100,3,2,IP,Washington,WA Salish Sea,WA Salish Sea,NONE,NONE,NONE,NONE,Mainland,intertidal,6/6/2023 13:05
