species_code,kingdom,phylum,class,order,family,genus,species
STRPUR,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus purpuratus
TAOLEN,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Taonia,Taonia lennebackerae
TAR,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TEGAUR,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula aureotincta
TEGBRU,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula brunnea
TEGEIS,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula eiseni
TEGFUG,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,NULL
TEGFUN,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula funebralis
TEGGAL,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula gallina
TEGSPP,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,NULL
TETRUB,Animalia,Arthropoda,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,Tetraclita squamosa
TONSPP,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,NULL
TRISPP,Animalia,Mollusca,Gastropoda,Ellobiida,Trimusculidae,Trimusculus,NULL
TUNICA,Animalia,Chordata,NULL,NULL,NULL,NULL,NULL
ULOSPP,Plantae, Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix,NULL
ULVENT,Plantae, Chlorophyta,Ulvophyceae,NULL,NULL,NULL,NULL
UNDPIN,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Undaria,Undaria pinnatifida
UNIDEN,NULL,NULL,NULL,NULL,NULL,NULL,NULL
WATSUB,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora subtorquata
ZONFAR,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Zonaria,Zonaria farlowii
ZOSMAR,Plantae, Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina
ZOSUND,Plantae, Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina
