CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site5ff-S137
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium sp. RS-24	0	0	1	6	0	7	0	0	0	0	1	1	0	6	4	0	8	3	2	6	1	1	3	0	0	8	1	1	1	2	5	1	0	0	1	0	1	3	1	0	0	1	3	10	3	5	6	2	0	0	1	3	0	0	4
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter	0	0	0	0	3	1	0	0	0	0	2	1	0	2	0	1	2	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2
Eukaryota;Arthropoda;Maxillopoda;Sessilia	4	9	10	115	4734	18	31	0	8	34	8	3	0	71	37	4	742	5	2	11	1	21	123	41	3	19	34	8	110	19	3	137	13	0	20	13	440	2	13	14	56	1	10	624	27	12	177	177	26	11	16	96	56	7	259
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus exasperatus	25	0	12	26	0	19	10	0	5	7	126	2	0	252	10	76	28	14	11	63	1	33	64	19	5	21	1	2	28	23	39	25	139	0	16	29	20	0	24	29	11	87	7	50	11	25	49	54	7	18	8	1	26	43	59
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella splendens	0	2	11	13	0	6	4	0	0	2	10	1	0	14	4	0	18	1	5	0	1	5	0	1	0	7	0	0	12	1	9	0	1	0	1	21	3	0	12	61	9	2	4	19	0	11	9	19	0	3	1	10	14	0	27
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella	0	1	2	11	0	3	1	0	0	0	8	0	0	14	6	0	17	8	2	0	1	0	4	0	0	7	4	0	9	0	7	0	6	0	0	2	6	0	14	19	4	2	15	24	2	0	24	15	0	1	0	3	5	0	9
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Maculaura;Maculaura oregonensis	0	0	3	59	0	26	3	0	0	1	8	15	0	15	34	13	47	67	25	0	1	17	1	11	0	84	0	0	2	0	7	0	3	0	0	5	4	1	7	4	23	0	0	29	2	32	59	17	0	19	1	13	15	3	4
Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;Halichondria panicea	25	0	9	4	695	2	0	0	4	3	6	0	0	31	11	1	147	1	0	16	2	33	152	2	19	7	4	0	0	0	0	0	17	0	2	4	1	0	1	28	8	12	0	164	4	6	6	36	0	2	0	2	3	5	8
Eukaryota;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis edentata	1	0	4	3	0	2	0	0	0	1	0	1	0	5	4	1	18	6	0	0	2	3	10	1	0	4	1	0	1	0	10	5	0	0	1	0	5	1	3	3	1	1	3	18	0	8	6	30	1	1	0	2	1	1	4
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Calanidae;Calanus;Calanus pacificus	0	0	0	0	0	2	45	0	15	0	0	0	0	0	0	0	1	358	0	0	1	95	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	61	0	0	1	0	0	0	0	0	107	0	0
