CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site1t-S113
Eukaryota;NA;Florideophyceae;Halymeniales;Halymeniaceae;Prionitis;Prionitis sternbergii	0	0	0	2	0	0	0	0	2	3	14	0	10	29	5	3	0	0	4	6	0	2	0	18	2	7	7	3	1	17	0	24	0	14	0	1	16	0	0	13	5	2	0	2	1	1	6	5	1	0	15	1	0	9	5
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. KT 15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	3	0	0	0	0	0	0	2	0
Eukaryota;NA;Florideophyceae	0	3	0	0	1	2	5	0	1	0	0	0	3	2	1	1	0	0	1	3	0	0	1	2	3	2	2	3	1	8	3	1	0	2	0	0	1	0	0	0	8	1	0	0	0	0	7	6	0	0	2	3	0	2	2
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia	0	0	0	0	0	0	0	0	2	4	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	89	0	0	0	1	0	1	1
Eukaryota;NA;Dinophyceae;NA;NA;Pellucidodinium;Pellucidodinium psammophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	1	0	0	0
Eukaryota;Porifera;Demospongiae;Poecilosclerida	0	0	6	1	0	7	0	0	1	0	0	0	52	0	0	0	0	4	1	0	0	9	2	0	1	0	0	0	0	67	0	0	0	0	0	26	0	1	0	0	2	1	0	10	1	0	2	289	0	0	1	0	0	0	4
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Berkeleyaceae;Berkeleya;Berkeleya fennica	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	0	0	0	2	1	0	2	0	1	2	3	0	4	3	2	0	0	0	1	0	0	1	1	8	0	2	1	0	1	2	1	0	0	0	0	2	0	0	0	2	3	0	1	0	0	0	4	7	0	0	0	0	0	2	9
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella oregona	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Chthamalidae;NA;Chthamalidae sp. 144752A	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. IMCC9063	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis	0	0	0	0	94	0	17	0	8	0	14	0	0	2	0	0	5	0	1	601	0	6	0	0	6	0	1	1	48	0	0	0	0	4	15	15	0	35	0	14	2	3	0	33	15	3	0	0	1	0	0	0	0	0	104
Eukaryota;Nemertea;Palaeonemertea;NA;Carinomidae;Carinoma;Carinoma sp. 5 TCH-2015	0	0	0	0	0	0	0	0	5	0	1	0	3	398	0	0	0	2	1	0	0	6	0	0	2	40	0	0	0	0	0	125	0	2	0	9	1	0	0	0	5	2	0	4	0	0	0	0	0	0	3	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula pacifica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Cryptopleura;Cryptopleura ruprechtiana	0	0	1	3	0	0	0	0	1	0	3	0	16	5	3	0	0	0	1	0	0	0	0	1	0	1	1	0	0	10	0	0	0	0	0	3	7	0	0	0	2	1	0	0	0	0	0	10	0	0	3	2	0	2	7
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	0	2	0	1	39	3	15	0	0	3	4	5	1	2	0	4	1	0	3	16	0	0	1	5	28	2	1	15	24	15	0	3	4	5	5	2	4	0	0	4	40	17	0	0	11	7	24	5	0	0	0	7	0	5	1
Eukaryota;Mollusca;Gastropoda;NA;Nassariidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Laminariocolax	0	0	1	0	3	1	3	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	1	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister atropurpureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae	0	0	0	0	1	1	2	0	1	1	1	0	4	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	7	1	0	0	1	0	0	6	0	0	0	2	0	0	0	0	0	4	0	0	0	3	0	0	0	3
Eukaryota;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Laminarionema;Laminarionema elsbetiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Ralfsiales;Ralfsiaceae;NA;Ralfsioid sp. 4GWS	0	1	0	1	13	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	2	0	0	2	0	0	1	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella rosea	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Tenacibaculum sp. LPB0136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	1	8	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	54	0	1	7
Eukaryota;Nemertea;Enopla;Monostilifera;Tetrastemmatidae;Tetrastemma;Tetrastemma sp. 1 TCH-2015	0	0	0	0	1	0	3	0	1	0	0	1	4	0	0	4	0	0	0	2	0	0	0	0	0	1	0	8	0	10	0	0	0	0	0	1	1	1	0	0	13	4	0	1	1	0	0	42	0	0	1	1	0	0	3
Eukaryota;Mollusca;Gastropoda;NA;Littorinidae;Littorina	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Atelecyclidae;Telmessus;Telmessus cheiragonus	0	3	0	0	0	26	5	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	2	18	0	0	10	0	0	0	0	0	7	0	0	0	0	1	7	1	0	0	1	5	0	0	0	0	0	6	0	0	23
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae;Pseudoscourfieldia;Pseudoscourfieldia marina	0	0	0	8	0	0	0	0	2	0	1	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	5	0	3	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	5	3	0	2	2
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Pleonosporium;Pleonosporium squarrosum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus corymbiferus	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	1	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus;Balanus glandula	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	8	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	9
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus;Sus scrofa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
Eukaryota;Chlorophyta;NA;Pyramimonadales;NA;Cymbomonas;Cymbomonas tetramitiformis	0	0	2	1	0	0	0	0	0	2	0	0	1	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	25	0	0	2	2	0	0	0
Eukaryota;Nemertea;Enopla;Monostilifera;Amphiporidae;Zygonemertes;Zygonemertes sp. 1 TCH-2015	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	7	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	1
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	3	0	0	0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sclerotiorum	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	40	0	2	0	5	2	4	0	0	0	0	1	1	0	4	0	0	15	6	0	0	0	0	0	0	1	0	1	1	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister mucosus	0	1	0	0	0	0	4	2	4	1	0	3	3	8	4	0	1	0	0	0	0	0	2	0	0	5	2	1	1	4	0	6	3	17	1	1	2	12	0	0	9	10	0	1	7	0	0	0	0	0	1	2	0	18	3
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;Orthocladiinae sp. BOLD-2016	0	0	0	0	0	0	0	0	0	1	9	0	3	1	0	0	0	0	0	0	2	0	0	2	1	0	0	5	0	4	0	0	0	2	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	2	0
Eukaryota;Chordata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Delesseriaceae;Cumathamnion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Dumontiaceae;Constantinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	3	1	1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	2
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Callithamnion;Callithamnion pikeanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	0	1	0	0	15	0	6	1	0	3	0	1	1	0	1	0	2	0	0	4	0	0	4	1	14	0	2	4	7	4	9	1	1	0	4	1	3	2	0	1	18	6	0	0	9	5	0	0	0	0	0	1	0	3	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela oregona	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3
Eukaryota;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	2	1	0	0	4
Eukaryota;NA;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	1	1	1	1	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Eukaryota;NA;Florideophyceae;Palmariales;Palmariaceae;Halosaccion;Halosaccion glandiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	0	0	0	1	0	0	0
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Micrura;Micrura verrilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;NA;Isochrysidales;Noelaerhabdaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Dendrochirotida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Bivalvia;Veneroida;Veneridae;Saxidomus;Saxidomus gigantea	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1	0	22	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Eirenidae;Eutonina;Eutonina indicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia	0	0	0	0	11	2	5	0	0	0	2	0	5	1	2	2	2	0	0	1	0	0	0	0	0	0	1	0	10	0	5	1	1	3	2	0	1	3	0	0	5	7	0	0	4	0	4	0	0	0	0	0	0	0	4
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Anoplarchus	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis	0	0	0	0	0	0	0	0	1	5	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Parastichopus;Parastichopus californicus	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Halosydna;Halosydna brevisetosa	0	7	0	0	497	27	150	0	3	0	0	21	0	13	0	11	50	0	0	526	0	1	75	1	93	2	3	24	486	1	431	113	1	0	13	0	2	4	3	0	312	160	0	1	75	14	1143	0	23	0	0	0	0	0	1
Eukaryota;NA;Dinophyceae;Syndiniales;Syndiniaceae;Hematodinium;Hematodinium sp.	0	0	0	1	26	3	3	0	1	1	1	1	2	1	2	0	4	0	0	4	0	0	1	2	19	1	1	0	17	1	6	1	0	1	4	0	3	6	0	4	14	0	0	0	10	5	9	1	0	0	5	0	0	1	0
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium	0	1	0	0	0	8	1	0	0	1	0	2	1	0	1	1	0	0	0	4	0	0	2	0	1	1	1	0	1	2	3	3	1	0	0	3	1	4	1	0	16	5	0	0	0	1	11	3	2	0	1	0	0	1	0
Eukaryota;NA;Florideophyceae;Gigartinales;Dumontiaceae;Cryptosiphonia;Cryptosiphonia woodii	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	7	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Hyalidae;Protohyale;Protohyale frequens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium plumosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae;NA;Fucales;Fucaceae;Fucus;Fucus serratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia cf. recta RT-2009	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;Devaleraea mollis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Euphausia pacifica	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0	5	1	0	1	612	0	0	1	1	0	0	0	1	0	3863	0	0	1	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;NA;NA;NA;Hydrozoa sp. prey of Macellomenia sp. KMK-2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Aequoreidae;Aequorea;Aequorea sp. MW-2012	0	1	0	0	0	28	2	2	1	1	0	0	12	3	0	1	1	0	0	0	0	0	2	5	0	3	6	0	10	15	0	5	0	2	0	0	15	4	0	4	6	5	0	1	0	1	3	81	0	0	2	0	0	1	9
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus	0	11	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	91	0	8	0	0	23	0	0	24	0	5	0	0	0	0	0	0	0	9	0	39	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Colaconematales;Colaconemataceae;Colaconema;Colaconema daviesii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis sp. CMC02	0	2	0	5	12	1	6	0	0	0	0	0	1	0	2	3	1	0	0	6	0	0	59	2	5	1	0	4	20	13	0	0	1	0	5	87	1	5	0	0	926	8	0	1	3	5	37	0	0	0	0	0	0	1	2
Eukaryota;Porifera;Demospongiae;Haplosclerida;Chalinidae;Haliclona;Haliclona amboinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Littorinidae;Littorina;Littorina scutulata	0	0	0	0	0	295	0	0	511	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	908	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pandeidae;Leuckartiara;Leuckartiara octona	0	3	0	0	33	3	9	0	0	4	2	0	1	1	0	0	0	0	0	3	0	0	1	0	10	1	0	1	3	0	8	0	0	0	2	0	1	3	0	0	13	1	0	1	2	6	1	0	0	0	0	0	0	0	1
