18S_Euk_seq_number	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5q-S122
Eukaryota;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	363	818	857	119	3	33	255	979	748	48	552	221	32	78	495	167	90	1838	298	161	279	620	736	971	625	121	437	6	258	499	1118	629	261	0	295	987	242	5	804	149	1063	20	209	516	0	824	79	589	283	0	32	1	0	30	1
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Tabularia	252	1065	3862	219	100	73	1180	2588	3350	80	2705	355	354	8955	585	299	2409	4034	49	142	8571	1187	10495	2138	444	2641	22062	13	70	2630	1647	1064	4568	0	6405	3782	66	5000	370	291	1369	612	3030	26131	0	849	2032	420	20788	0	9428	1	0	504	6
Eukaryota;Bacillariophyta;Bacillariophyceae	23	97	1431	4	0	4	49	72	85	242	136	10	4	63	47	14	20	112	15	6	179	32	279	11	37	14	234	2	5	98	81	122	72	0	25	181	10	38	33	2	47	41	96	280	0	99	140	68	220	0	94	1	0	226	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	3	25	32	2	1	1	0	17	29	3	4	4	3	3	20	3	2	23	1	5	5	18	31	24	9	6	18	1	0	10	25	7	9	0	3	48	1	0	3	4	23	1	8	22	0	8	6	4	19	0	17	1	0	6	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium	336	887	516	4476	1	87	387	881	677	1839	7881	6059	2024	716	539	3042	7023	968	156	16600	6311	475	4771	4330	423	1119	1027	55	18730	408	835	689	245	2	5198	1095	321	390	844	2250	988	142	547	1617	0	1746	467	1159	1697	0	3914	1	1	229	19
Eukaryota;Bacillariophyta	412	1317	3297	699	28	117	1209	2889	910	1141	2302	1308	230	2800	1008	793	3356	3392	146	228	6433	753	5443	1074	819	641	7883	18	322	1722	1076	1772	3033	0	2649	7164	829	1507	465	137	1579	752	4185	9033	0	1440	2781	653	7253	0	4921	1	0	346	12
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	114	132	181	36	0	16	117	199	172	17	270	49	13	21	95	21	25	408	50	65	140	61	195	48	113	32	156	3	70	104	103	112	67	0	64	438	48	6	175	16	60	13	58	180	0	258	43	150	113	0	20	0	0	29	1
Eukaryota;NA;Phaeophyceae;Fucales;Sargassaceae	19	47	142	34	3	81	166	65	98	22	48	35	4	173	68	18	68	108	13	10	243	35	83	32	60	48	117	1	13	45	30	119	182	0	85	1400	10	53	56	0	68	101	956	135	0	1249	394	95	105	0	62	0	0	79	0
Eukaryota;Nemertea;Palaeonemertea;Carinomiformes;Carinomidae;Carinoma	49	58	88	0	2	264	123	142	11	2	13	0	0	0	40	0	1	261	8	0	4	9	7	0	71	3	4	0	3	97	205	78	251	0	1653	212	51	0	26	0	4	492	51	7	0	4985	1532	69	3	0	2	0	0	773	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera sp. DC-2019	9	10	157	3	0	59	26	6	0	0	1	0	1	0	47	0	0	45	11	0	1	0	0	0	12	12	1	0	0	9	2	8	19	0	0	101	0	0	0	0	0	160	13	0	0	915	584	10	0	0	0	0	0	192	0
