18S_Euk_seq_number	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5g-S97
Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura dioica	742	542	47	604	86	27	15	172	20	0	210	1	0	34	57	2	229	99	59	568	10	221	246	0	1	212	343	145	43	94	67	15	365	40	64	531	27	209	30	202	321	15	33	56	364	95	415	2	220	274	3	48	0	67	0
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Pyuridae	9	7	0	3	0	5	0	2	0	0	3	0	0	1	0	1	3	1	0	10	0	1	0	0	0	1	2	3	0	0	0	0	9	1	0	3	0	1	0	9	6	0	0	0	3	1	0	0	3	1	0	1	0	0	0
Eukaryota	121408	31516	79716	22598	12869	16315	35528	34474	19824	0	27271	499	1	8999	17708	116	15641	8056	127310	45854	3471	15874	15254	8	1907	26819	17952	19050	11086	41359	49337	25043	29031	9029	60706	13551	11977	11157	102201	30472	45918	3427	66084	23070	21665	4678	19655	9365	18403	46552	5454	100804	104	62582	1
Eukaryota;Bacillariophyta	11812	4579	13652	1729	637	1164	1984	6502	7487	0	1128	16	0	488	2067	5	1337	264	3503	5212	362	859	3570	0	34	2885	1803	4668	4290	4872	4045	1218	1369	370	4041	1875	1318	721	9813	5711	2496	189	11832	1225	1684	1543	2126	2191	2682	11123	222	8111	45	4987	0
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	116	53	50	46	13	68	16	16	162	0	28	0	0	9	2	1	37	13	65	88	3	44	10	0	0	27	23	12	6	14	3	6	19	16	10	20	6	29	29	38	54	3	29	7	19	9	27	1	17	31	1	36	0	7	0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	0	0	0	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Takayama;Takayama cf. pulchellum	294	209	54	170	19	25	24	64	9	0	105	0	0	68	4	1	80	41	102	389	5	144	335	0	2	106	54	73	17	27	26	21	84	1698	50	165	6	68	51	228	132	7	50	7	110	42	164	2	113	58	10	99	0	13	0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Diphyes;Diphyes chamissonis	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata	268	8	33	28	9	5	8	32	7	0	23	0	0	10	3	12	7	3	59	16	55	18	5	0	2	26	51	17	12	13	7	9	7	8	11	12	0	4	45	11	61	1	34	57	9	0	47	1	24	331	2	23	0	6	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp.	2427	4101	666	4695	1003	583	309	531	2953	0	5058	3	0	774	1722	9	1587	734	961	5498	1207	2327	1286	0	17	3955	958	1136	153	349	5906	229	1760	511	436	5348	95	1553	317	5028	7257	296	541	205	1726	1107	3870	220	2323	505	1500	1732	6	220	0
