18S_Euk_seq_number	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5f-S96
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida	2201	512	2024	419	36	21	528	135	547	83	39313	1	142	1724	110	106	7	0	746	214	450	1557	270	361	554	114	11	104	160	499	321	0	985	856	114	0	2270	278	0	1726	378	195	620	4973	175	1347	0	1432	376	117	24	361	9	2116	1
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona	0	28	11	1	31	0	0	0	1	1186	4	2	7	1	2425	0	0	0	46	1	40	0	107	0	0	2	0	2675	0	0	0	0	296	158	0	0	682	0	0	55	64	0	0	4	0	0	67	0	0	1	0	0	1913	166	73
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;Strobilidium sp.	22	29	410	909	541	19	432	48	174	989	5	5	1046	9	1534	34	1	0	228	2	500	82	1088	242	270	84	0	1869	417	350	806	0	50	1177	1060	0	715	1756	0	311	52	50	810	50	4	0	484	1714	38	7	1508	40	9	2533	2
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;Calanus	0	0	11	1	0	0	1681	0	0	0	2449	1	1	1	0	0	0	0	0	2	0	0	1112	3	0	0	0	5	241	214	1	0	0	0	1	0	0	0	0	1	0	1	1	709	0	0	0	5	0	490	0	0	1	0	94
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus granii	0	0	635	107	117	30	869	43	135	847	0	6	421	0	885	0	2	0	1	0	629	0	73	314	249	1	0	114	32	165	327	0	11	985	497	0	819	1429	0	675	0	0	1170	10	0	0	0	1282	0	277	944	0	0	1101	0
Bacteria;Pseudomonadota;Alphaproteobacteria	358	32	147	68	46	6	27	28	90	39	92	1	57	238	80	46	2	0	321	43	34	23	28	32	7	119	0	68	53	57	91	0	92	43	106	0	30	87	0	42	229	23	178	66	313	77	15	166	44	118	182	70	35	188	1
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva	522	34	366	77	47	30	44	27	103	30	231	1	70	362	41	6	0	0	434	86	49	47	129	47	11	615	1	571	40	41	44	0	93	28	59	0	44	47	0	107	224	47	80	51	609	31	6	98	28	46	125	68	56	132	8
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia duriuscula	9	0	146	37	3	6	6	0	19	6	3	1	35	3	11	0	0	0	7	0	20	0	28	21	5	12	0	74	13	13	31	0	3	22	8	0	13	22	0	61	1	1	16	4	14	1	0	37	0	3	29	1	1	44	0
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium rubrum	319	207	270	81	28	2	169	13	36	69	279	2	91	245	170	37	0	0	152	106	55	152	133	46	67	740	2	151	19	34	34	0	254	58	139	0	145	189	0	45	41	256	191	150	856	107	52	460	157	13	2125	58	402	120	13
Eukaryota;NA	146	31	297	162	70	17	135	12	40	91	71	14	150	131	149	7	0	0	135	20	59	17	163	68	62	141	0	260	21	85	106	0	83	65	149	0	166	189	0	96	41	19	1148	34	159	27	11	330	19	22	67	40	39	164	2
