CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site5c-S89
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	54	0	1	0	0	0	0	1	1	1	0	7	0	1	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Nemertea;Enopla;Monostilifera;Tetrastemmatidae;Tetrastemma;Tetrastemma sp. 1 TCH-2015	0	0	41	0	0	1	10	1	0	8	0	1	0	0	0	4	3	3	12	0	0	0	2	0	4	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Littorinidae;Littorina	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Atelecyclidae;Telmessus;Telmessus cheiragonus	0	2	0	0	3	0	0	0	0	0	0	0	5	0	0	1	5	0	7	0	0	0	0	0	1	0	0	18	10	0	6	0	0	0	1	0	0	1	0	0	7	23	0	0	3	0	0	0	26	0	0	0	0	0	1
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae;Pseudoscourfieldia;Pseudoscourfieldia marina	5	0	0	0	0	1	2	1	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	5	1	0	0	0	3	1	0	1	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	2	1	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus corymbiferus	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus;Balanus glandula	0	0	0	0	0	2	8	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	4	1	0	0	1
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus;Sus scrofa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae;Leitoscoloplos;Leitoscoloplos pugettensis CMC01	2	32	0	0	34	75	2	0	1	122	0	26	9	190	4	0	14	31	548	0	0	0	61	0	213	0	5	1	8774	0	11	0	0	1	10	19	4	0	18	0	8	1	0	0	50	0	0	8	3	0	0	4	0	24	12
Eukaryota;Chlorophyta;NA;Pyramimonadales;NA;Cymbomonas;Cymbomonas tetramitiformis	0	0	25	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	2	0	0	0	0	2	4	2	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sclerotiorum	0	0	0	0	1	0	4	1	0	5	0	0	0	0	0	0	0	4	15	0	0	0	0	0	6	1	0	2	2	0	1	2	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	0	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister mucosus	6	0	0	0	1	2	4	1	0	1	0	0	0	0	0	3	4	0	9	0	0	0	0	17	10	1	2	5	1	0	2	8	0	0	7	12	0	0	0	4	1	3	1	18	3	1	0	3	0	2	4	0	0	2	1
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;Orthocladiinae sp. BOLD-2016	0	1	0	0	0	1	4	1	0	5	0	0	0	0	0	3	0	0	0	0	0	2	0	2	2	2	0	0	0	0	3	1	0	9	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0
Eukaryota;Chordata	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa	3	3	13	0	0	9	15	3	0	109	0	21	1	4	2	18	2	0	35	0	0	0	92	4	4	4	3	1	5	11	1	3	0	1	2	1	0	3	0	2	0	5	0	0	3	1	0	0	3	0	0	4	0	0	2
Eukaryota;Nemertea;Enopla;Monostilifera;Amphiporidae;Zygonemertes;Zygonemertes sp. 1 TCH-2015	0	2	0	0	0	1	7	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Callithamnion;Callithamnion pikeanum	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	1	14	0	0	1	3	4	1	0	4	0	15	5	0	9	1	6	0	18	0	0	0	4	0	6	0	2	0	7	0	1	0	0	0	9	2	0	1	0	1	4	0	0	3	1	3	0	1	0	1	0	1	0	4	2
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neorhodomela;Neorhodomela oregona	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0
Eukaryota;NA;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
Eukaryota;NA;Florideophyceae;Palmariales;Palmariaceae;Halosaccion;Halosaccion glandiforme	0	0	27	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Micrura;Micrura verrilli	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;NA;Isochrysidales;Noelaerhabdaceae	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Bivalvia;Veneroida;Veneridae;Saxidomus;Saxidomus gigantea	1	22	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Eirenidae;Eutonina;Eutonina indicans	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia	1	0	0	0	0	1	0	0	0	0	0	11	0	1	5	5	5	2	4	0	0	0	1	3	7	0	1	0	10	0	0	1	0	2	3	3	0	0	0	2	2	4	0	0	0	0	0	1	2	0	0	0	0	0	2
Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Anoplarchus	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Parastichopus;Parastichopus californicus	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Halosydna;Halosydna brevisetosa	113	93	0	0	7	2	1	0	0	24	0	497	14	1142	431	0	150	11	312	1	0	0	526	0	160	0	3	2	485	0	0	13	0	0	75	4	23	0	3	0	13	1	1	0	21	0	0	1	27	0	3	1	0	75	50
Eukaryota;NA;Dinophyceae;Syndiniales;Syndiniaceae;Hematodinium;Hematodinium sp.	1	19	1	0	0	3	1	0	1	0	0	26	5	8	6	2	3	0	14	0	0	0	4	1	0	5	0	1	17	0	0	1	0	1	10	6	0	2	0	2	1	0	0	1	1	0	0	0	3	0	1	2	0	1	4
Eukaryota;NA;Oomycetes;Pythiales;Pythiaceae;Pythium	2	1	3	0	1	1	2	3	0	0	0	0	1	9	2	1	1	1	16	0	0	0	3	0	4	0	1	1	1	0	0	0	0	0	0	4	2	0	1	0	0	0	0	1	2	0	0	1	7	0	0	0	0	2	0
Eukaryota;NA;Florideophyceae;Gigartinales;Dumontiaceae;Cryptosiphonia;Cryptosiphonia woodii	0	2	0	0	0	2	1	1	0	1	0	0	0	6	0	5	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Hyalidae;Protohyale;Protohyale frequens	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;NA;Florideophyceae;Acrochaetiales;Acrochaetiaceae;Acrochaetium;Acrochaetium plumosum	0	0	0	0	0	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;Devaleraea mollis	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Euphausia pacifica	0	0	3861	0	0	1	5	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	5	1	1	0	1	0	0	0	2	0	0	0	612	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;NA;NA;NA;Hydrozoa sp. prey of Macellomenia sp. KMK-2014	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Orbiniidae	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus	2	0	0	0	5	4	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Colaconematales;Colaconemataceae;Colaconema;Colaconema daviesii	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis sp. CMC02	0	5	0	0	2	1	13	87	5	4	0	12	5	34	0	1	6	3	925	0	0	0	6	0	8	0	0	1	20	0	0	0	0	0	3	5	0	0	0	2	5	2	1	1	0	0	0	1	1	0	0	2	0	59	1
Eukaryota;Porifera;Demospongiae;Haplosclerida;Chalinidae;Haliclona;Haliclona amboinensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Littorinidae;Littorina;Littorina scutulata	0	908	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	113	0	0	0	1	0	0	0	0	0	283	0	0	0	295	0	511	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	3	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	3	0	2	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	2	4	0	0	0
Eukaryota;Arthropoda;Arachnida;Araneae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia perforata	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Maxillopoda;Harpacticoida;NA;NA;Harpacticoida sp. DNZ085	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;NA;Trochidae;Lirularia;Lirularia succincta	0	0	0	0	2	3	0	0	0	0	0	0	3	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Eukaryota;NA;Florideophyceae;Ceramiales;Ceramiaceae;Microcladia	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera nana	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	4	0	0	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Melitidae;Megamoera;Megamoera subtener	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	1	0	0	1
Eukaryota;NA;Florideophyceae;Gigartinales;Phyllophoraceae;Mastocarpus	4	0	13	0	1	2	9	1	1	0	0	0	0	1	1	8	0	0	0	1	0	0	1	0	0	1	1	1	2	0	0	2	1	1	0	0	3	0	0	3	0	0	2	0	0	1	0	0	0	0	1	3	0	0	0
Eukaryota;NA;NA;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	65	12	0	0	2	7	1	21	0	6	0	0	36	6	12	1	173	11	19	3	0	0	19	1	4	296	53	32	47	0	0	71	0	1	11	3	0	0	0	3	76	0	0	0	2	0	0	0	40	0	0	111	0	1	65
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Nusuttodinium	5	21	0	0	0	2	2	0	1	2	0	3	1	28	16	2	8	4	13	1	0	0	6	0	0	1	5	0	14	0	0	2	0	0	8	7	0	4	0	3	2	4	1	1	1	0	0	1	3	1	1	6	0	3	2
Eukaryota;Echinodermata;Asteroidea;Forcipulatida;Asteriidae	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0
Eukaryota;Cnidaria;Scyphozoa;Semaeostomeae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Osmundea;Osmundea spectabilis	1	0	5	0	0	1	9	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca furcata	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Polyplacophora;Neoloricata;Lepidochitonidae;Cyanoplax;Cyanoplax dentiens	0	2	0	0	0	1	2	0	0	0	0	0	1	4	1	3	7	0	4	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	34	0	1	3	0	0	0
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;Chone magna CMC02	1	0	96	0	0	2	40	0	0	3	0	0	0	14	256	17	25	1	2	0	0	0	58	0	9	0	0	2	3	0	0	3	0	0	1	0	0	7	2	0	1	21	1	0	12	766	0	0	0	0	15	0	0	0	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia pacifica	2	0	91	0	0	1	2	0	0	0	0	0	0	2	0	9	2	0	2	0	0	0	1	0	2	1	1	0	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Eukaryota;Porifera;Demospongiae;Suberitida	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Eukaryota;NA;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellidae;Schizobranchia;Schizobranchia insignis	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Neoamphitrite;Neoamphitrite robusta CMC01	0	11	235	0	12	0	3	6	0	12	0	78	8	0	6	3	20	2	59	4	0	0	10	4	38	3	1	0	139	0	0	0	0	6	12	0	2	0	0	0	1320	0	1	0	7	0	0	8	2	2	0	0	0	1	4
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Pholoidae;Pholoides;Pholoides asperus	0	1	0	0	1	0	0	37	0	0	0	0	0	0	0	0	1	0	0	10	0	0	114	0	0	0	1	0	0	0	0	1	1	4	1	4	0	1	0	0	0	0	5	171	0	0	0	0	0	0	71	4	0	0	1
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Eukaryota;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Evasterias;Evasterias troschelii	0	2	0	0	0	0	0	0	4	2	0	3	0	0	0	0	0	0	6	0	0	0	0	0	4	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium cf. depressum	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae	3	6	10	0	8	2	4	8	3	15	0	1	0	7	9	2	5	2	55	3	3	0	9	5	24	12	3	6	9	0	1	7	0	0	2	1	1	2	1	3	1	5	2	1	2	2	0	1	0	1	4	3	0	3	1
Eukaryota;NA;Dinophyceae;Lophodiniales;Lophodiniaceae;Woloszynskia	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Florideophyceae;Palmariales;Rhodophysemataceae;Rhodophysema	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema nitzschioides	1	2	0	0	0	0	2	0	0	1	0	0	1	5	0	0	4	0	1	0	0	0	1	0	0	2	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	6	0	0	1	0	0	0
