CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site5n-S115	CO1_Metazoa_Yell-July18-Site5c-S89
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora	10	0	6	0	0	21	86	7	2	1	14	0	0	0	0	12	1	0	10	0	4	0	0	1	1	166	8	16	3	1	13	3	1	39	0	0	0	0	0	5	1	14	3	3	1	58	0	0	0	0	3	14	1	0	5
Eukaryota;NA;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	23	16	126	0	1	63	40	5	34	3	9	46	18	45	3	36	8	2	95	5	7	0	17	84	14	33	34	11	19	12	22	26	6	19	21	20	0	12	0	44	4	20	3	5	4	28	0	4	13	0	2	33	0	6	7
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. Hel1_33_78	3	0	7	0	0	0	1	0	1	1	0	0	1	15	3	3	3	0	33	0	0	0	5	2	6	1	3	0	5	1	1	0	1	0	5	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	4	0
Eukaryota	17	7	15	0	3	19	41	2	13	9	6	11	2	21	3	20	3	0	21	1	3	0	9	72	12	35	8	4	14	4	16	33	0	14	8	5	0	17	0	16	3	8	0	13	0	15	0	1	1	4	8	20	0	2	1
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus tenuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia cf. promare	212	206	376	0	260	84	140	84	72	701	20	137	79	641	163	112	403	291	1898	7	82	1	889	323	1011	295	65	171	430	6	26	407	9	55	89	33	43	64	5	93	106	90	10	93	45	63	0	1	128	9	90	163	3	99	67
Eukaryota;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013	10	360	4	0	2	14	2	1	58	4	2	10	0	11	4	10	155	16	42	3	3	0	18	8	0	28	0	2	24	4	0	18	3	18	25	18	0	1	0	3	26	19	0	5	7	67	0	0	0	0	4	36	0	5	2
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium sp. RS-24	9	1	1	0	0	7	13	0	7	3	2	7	1	12	2	13	0	1	12	1	3	0	2	17	4	7	3	2	6	1	2	9	1	5	2	3	0	4	0	3	1	6	0	1	0	5	0	1	3	3	0	12	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter	0	3	5	0	1	0	6	0	0	2	3	0	3	9	1	5	4	2	26	0	2	0	4	2	3	1	3	1	4	2	0	2	0	0	6	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	2	5	0	3	0
Eukaryota;NA;Synurophyceae;Parmales;Triparmaceae;Triparma;Triparma laevis	16	1	0	0	0	19	4	1	2	0	4	0	0	0	1	8	1	0	2	2	0	0	1	11	0	14	6	4	1	2	3	9	0	14	4	0	0	2	0	7	0	1	2	5	0	2	0	1	2	0	3	8	0	1	1
Eukaryota;Arthropoda;Maxillopoda;Sessilia	37	110	4778	0	7	178	752	13	3	8	3	11	16	139	137	626	56	1	75	20	27	0	21	18	13	12	441	14	262	1	13	116	35	2	43	19	3	96	8	5	11	179	31	10	4	10	0	8	34	2	58	19	9	4	26
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus exasperatus	10	28	0	0	43	49	28	29	39	126	2	63	8	66	25	50	26	89	260	16	12	0	33	19	140	25	20	29	59	1	24	26	1	11	19	23	5	1	5	14	18	54	10	12	25	7	0	2	7	0	11	21	0	78	7
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella splendens	4	12	0	0	1	9	18	21	9	10	1	0	1	1	0	19	14	2	15	1	0	0	5	6	1	11	3	62	27	1	12	13	0	5	1	1	0	10	0	1	3	19	4	11	0	4	0	0	2	0	9	7	2	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella	6	9	0	0	0	24	17	2	7	8	0	0	0	5	0	25	5	2	16	0	2	0	0	3	6	0	6	19	9	1	14	11	4	2	0	0	0	3	0	8	1	15	1	2	0	15	0	0	0	0	4	7	1	0	0
Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Maculaura;Maculaura oregonensis	34	2	0	0	3	60	47	5	7	8	15	0	1	1	0	31	16	0	15	0	2	0	17	26	3	32	4	4	4	1	7	63	0	25	12	0	0	13	0	68	19	18	3	3	0	0	0	0	1	1	23	86	0	13	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira nordenskioeldii	18	5	83	0	1	15	36	10	21	2	0	68	20	15	7	20	3	0	40	1	0	0	11	17	11	53	11	4	15	1	10	22	2	21	7	18	0	11	0	32	2	6	2	8	2	17	0	1	65	0	3	9	0	7	1
