CO1_Metazoa_seq_number	CO1_Metazoa_Yell-July18-Site5bb-S133	CO1_Metazoa_Yell-July18-Site1c-S85	CO1_Metazoa_Yell-July18-Site5m-S110	CO1_Metazoa_Yell-July18-Site1ee-S142	CO1_Metazoa_Yell-July18-Site1y-S120	CO1_Metazoa_Yell-July18-Site5v-S127	CO1_Metazoa_Yell-July18-Site1p-S105	CO1_Metazoa_Yell-July18-Site5c-S89	CO1_Metazoa_Yell-July18-Site5u-S126	CO1_Metazoa_Yell-July18-Site1r-S111	CO1_Metazoa_Yell-July18-Site1g-S93	CO1_Metazoa_Yell-July18-Site5e-S95	CO1_Metazoa_Yell-July18-Site1t-S113	CO1_Metazoa_Yell-July18-Site1s-S112	CO1_Metazoa_Yell-July18-Site5cc-S134	CO1_Metazoa_Yell-July18-Site5h-S98	CO1_Metazoa_Yell-July18-Site1cc-S140	CO1_Metazoa_Yell-July18-Site5ff-S137	CO1_Metazoa_Yell-July18-Site1m-S102	CO1_Metazoa_Yell-July18-Site5ee-S136	CO1_Metazoa_Yell-July18-Site1n-S103	CO1_Metazoa_Yell-July18-Site5b-S88	CO1_Metazoa_Yell-July18-Site1h-S94	CO1_Metazoa_Yell-July18-Site1bb-S139	CO1_Metazoa_Yell-July18-Site5aa-S132	CO1_Metazoa_Yell-July18-Site5o-S116	CO1_Metazoa_Yell-July18-Site1f-S92	CO1_Metazoa_Yell-July18-Site1z-S129	CO1_Metazoa_Yell-July18-Site1U-S114	CO1_Metazoa_Yell-July18-Site5s-S124	CO1_Metazoa_Yell-July18-Site1a-S83	CO1_Metazoa_Yell-July18-Site1o-S104	CO1_Metazoa_Yell-July18-Site5a-S87	CO1_Metazoa_Yell-July18-Site1b-S84	CO1_Metazoa_Yell-July18-Site1k-S100	CO1_Metazoa_Yell-July18-Site1L-S101	CO1_Metazoa_Yell-July18-Site1w-S118	CO1_Metazoa_Yell-July18-Site5q-S122	CO1_Metazoa_Yell-July18-Site5L-S109	CO1_Metazoa_Yell-July18-Site5r-S123	CO1_Metazoa_Yell-July18-Site1v-S117	CO1_Metazoa_Yell-July18-Site5w-S128	CO1_Metazoa_Yell-July18-Site5z-S131	CO1_Metazoa_Yell-July18-Site5J-S107	CO1_Metazoa_Yell-July18-Site5f-S96	CO1_Metazoa_Yell-July18-Site5t-S125	CO1_Metazoa_Yell-July18-Site5g-S97	CO1_Metazoa_Yell-July18-Site1d-S86	CO1_Metazoa_Yell-July18-Site1J-S99	CO1_Metazoa_Yell-July18-Site5k-S108	CO1_Metazoa_Yell-July18-Site1q-S106	CO1_Metazoa_Yell-July18-Site5p-S121	CO1_Metazoa_Yell-July18-Site1e-S91	CO1_Metazoa_Yell-July18-Site1dd-S141	CO1_Metazoa_Yell-July18-Site5n-S115
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	4	2	4	15	0	0	101	0	10	10	4	6	18	18	48	0	19	11	14	1	7	7	2	0	4	0	0	2	4	0	3	24	0	10	10	6	5	4	4	0	10	0	9	0	3	2	5	10	3	7	1	0	0	10	0
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;NA;Chironomidae sp. BOLD-2016	0	6	0	4	3	0	152	0	4	3	12	0	8	3	0	0	1	0	4	0	31	0	3	0	0	0	1	5	6	0	9	69	0	22	5	2	0	0	0	0	5	0	1	0	0	0	2	16	1	0	3	9	0	5	1
Eukaryota;Mollusca;Bivalvia;Veneroida;Tellinidae;Macoma;Macoma nasuta	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	18	0	7	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. 19 LG-2014	2	2	1	2	2	1	0	0	0	4	0	0	1	1	12	0	3	0	2	3	2	10	1	0	0	0	0	0	1	1	0	4	0	4	3	0	0	7	2	0	2	0	13	0	0	3	1	6	1	0	0	2	0	0	0
Eukaryota;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella;Mazzaella sp. GWS-2013b	0	6	0	4	5	0	6	0	1	3	34	0	2	10	1	0	3	2	3	1	11	2	6	0	1	0	1	4	4	1	6	1	0	15	1	3	2	19	0	1	6	0	6	0	0	0	0	8	9	0	1	0	3	4	1
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia	16	25	9	18	56	1	42	8	7	4	16	5	63	17	73	0	5	9	26	4	100	11	7	0	27	1	12	3	10	2	10	65	3	78	15	10	1	13	20	0	7	0	41	0	0	7	19	52	3	4	1	13	8	14	3
Eukaryota;NA;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	14	34	21	84	11	0	126	7	12	34	5	4	20	33	46	0	23	19	44	4	36	20	3	0	3	1	0	2	7	13	22	40	4	63	28	9	5	47	16	2	19	0	96	0	0	8	17	33	12	18	6	3	5	26	6
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. Hel1_33_78	6	3	5	2	0	0	7	0	0	1	0	0	2	1	0	0	3	5	0	0	3	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	16	0	0	0	0	33	0	0	3	5	1	1	1	1	3	0	0	4
Eukaryota	1200	177	181	335	367	154	819	92	106	180	150	41	234	436	176	1	484	721	299	231	187	42	27	30	594	333	8	138	58	69	70	397	18	170	200	68	215	170	249	185	171	0	539	0	13	494	576	357	25	54	9	138	15	522	114
Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Haliclystidae;Haliclystus;Haliclystus tenuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
