18S_Euk_seq_number	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1v-S117
Eukaryota;Arthropoda;Insecta;Coleoptera	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Eupodiscales;Odontellaceae;Pseudictyota;Pseudictyota dubia	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Thraustochytrium;Thraustochytrium sp. HK5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Insecta;Thysanoptera;Thripidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema tropicum	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Sinapis;Sinapis alba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Collembola;Entomobryomorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Discosea;Flabellinia;Dactylopodida;Paramoebidae;Paramoeba;Paramoeba karteshi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Dipolydora;Dipolydora quadrilobata	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva prolifera	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Eucalanidae;Subeucalanus;Subeucalanus mucronatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae;Rhodoptilum;Rhodoptilum plumosum	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Ganymedidae;Ganymedes;Ganymedes themistos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Tanaidacea;Tanaididae;Zeuxo;Zeuxo molybi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	3	6	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Laminarionema;Laminarionema elsbetiae	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Fragilaria;Fragilaria capucina	0	0	0	1	1	0	0	3	0	0	0	0	3	1	2	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;NA;NA;Tremellales sp. LM630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Insecta;Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Platyhelminthes;Cestoda	0	0	0	142	0	0	0	0	0	0	0	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Mychonastaceae;Mychonastes;Mychonastes sp. 5C3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas sp.	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Haptophyta;NA;Prymnesiales	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Platyhelminthes;Monogenea;Dactylogyridea;Ancylodiscoididae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Pleuronematida;Cyclidiidae;Protocyclidium;Protocyclidium sinica	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis sp. JG-2011a	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Chlorophyceae	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Selenidium;Selenidium boccardiellae	0	0	0	9	2	0	0	1	0	0	0	1	7	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
Eukaryota;Arthropoda;Insecta;Coleoptera;Brachyceridae;Simo;Simo hirticornis	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Neofragilaria;Neofragilaria nicobarica	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Basidiomycota;Pucciniomycetes	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Nematoda;Chromadorea;Monhysterida;Siphonolaimidae;Astomonema;Astomonema sp. NCM-2006	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Thecostraca;NA;Poecilasmatidae;Poecilasma	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Trebouxiophyceae;NA;NA;Choricystis	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Pyrophacaceae;Fragilidium;Fragilidium subglobosum	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Insecta;Mecoptera;Boreidae;Boreus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;NA;Hyphomonadaceae bacterium	0	0	0	0	1	0	0	2	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Zosteraceae;Zostera;Zostera marina	0	0	0	0	4	0	0	3	0	0	0	1	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	2	0	0	0
Eukaryota;Arthropoda;Arachnida;Ixodida;Argasidae	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Ericales;Theaceae;Camellia;Camellia sinensis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Roseitalea;Roseitalea porphyridii	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Sphaeromyxidae;Sphaeromyxa;Sphaeromyxa longa	0	0	0	0	0	0	0	0	0	0	3	1	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Selenidium	0	0	0	0	1	0	0	0	0	0	0	2	7	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Ctenophora;Tentaculata;Cydippida;Pleurobrachiidae	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	11	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales	0	0	0	0	0	0	0	1	0	0	0	1	1	2	17	0	168	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniales;Rhodymeniaceae;Botryocladia;Botryocladia occidentalis	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Scalibregmatidae;Scalibregma;Scalibregma inflatum	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;NA;NA;cf. Pseudameira sp. 1 EEE-2016	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	38	4	0	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Ingolfiellida;Ingolfiellidae;Ingolfiella;Ingolfiella tabularis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius aquimarinus	0	0	0	0	6	0	0	2	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;NA;NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Arthropoda;Malacostraca	0	0	0	0	2	1	0	0	0	0	0	4	1	1	242	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfuromonadales	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Ameiridae;Ameira;Ameira scotti	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Pycnogonida;Pantopoda;Phoxichilidiidae;Anoplodactylus;Anoplodactylus crassus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Endomyxa;NA;Vampyrellida	0	0	0	1	0	0	0	0	3	0	0	1	4	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Urostylida;Pseudokeronopsidae;Pseudokeronopsis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;NA;bacterium episymbiont of Kiwa sp.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;NA;NA;Rhodospirillales bacterium	0	0	0	0	4	0	1	1	1	0	0	1	5	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	2	0	0	2	1	0	0	0	0	0
Eukaryota;Perkinsozoa;NA;Perkinsida;Perkinsidae;Perkinsus;Perkinsus qugwadi	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Adenoides;Adenoides eludens	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Ancora;Ancora cf. sagittata	0	0	0	1	8	0	2	15	5	0	2	3	22	8	0	0	6	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	2	3	0	0	5	2	0	0	2	0	0	0	2	0	0	0	0	0	3	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;NA;Maldanidae	0	0	0	0	47	0	0	68	30	0	0	1	54	50	0	0	0	0	0	0	0	0	0	52	0	1	0	0	0	0	1	0	0	1	0	17	0	0	30	0	0	6	0	0	0	0	2	1	0	0	0	8	0	0	0
Eukaryota;Arthropoda;Insecta;Phasmatodea;Lonchodidae;Periphetes;Periphetes sp. SB0293	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae	0	0	0	2	1	2	0	1	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0
Eukaryota;NA;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Nannochloropsis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Gastropoda;Lepetellida;Fissurellidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Arachnida;Opiliones;Triaenonychidae;Austromontia;Austromontia sp. MCZ IZ 127282.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Peniculida;Frontoniidae;Frontonia;Frontonia apoacuminata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Anthozoa;Scleractinia	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Basidiomycota;Pucciniomycetes;Pucciniales	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Selenidium;Selenidium serpulae	0	0	0	0	10	0	0	6	6	0	0	1	0	5	0	0	4	3	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium litoralis	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum micans	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Cuniculitremaceae;Kockovaella;Kockovaella thailandica	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
