18S_Euk_seq_number	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5c-S89
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	2	1	28	16	27	20	10	50	7	16	161	28	31	14	67	7	2	13	0	34	17	16	28	3	6	0	9	46	29	63	54	113	12	10	9	0	13	37	27	12	22	0	88	19	19	6	0	1	0	1	53	6	0	43	3
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae	0	24	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	2	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Diphyes;Diphyes chamissonis	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata	0	2	3	1	1	6	2	15	0	2	0	5	14	5	0	1	1	1	0	10	1	4	4	3	0	0	3	9	15	7	31	139	6	1	0	1	0	1	5	0	9	0	3	4	2	0	0	0	0	0	2	0	0	5	3
Eukaryota;NA;Dinophyceae	136	8	1580	402	3097	2233	1336	1773	633	618	2046	683	883	742	1396	574	1033	484	1	1665	2307	532	2420	5633	235	0	644	5167	1264	1434	2420	2119	1109	1852	863	30	1066	4846	2445	1921	846	2	4395	1627	1831	516	0	311	0	426	2394	226	7	2424	109
Eukaryota;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	42	1	310	45	526	1307	397	127	66	44	497	137	76	192	51	85	37	436	0	144	12021	371	605	1333	16	0	54	911	128	182	646	2014	945	55	236	2	91	1785	623	1428	414	3	3516	234	437	42	0	6	0	127	1084	46	2	692	45
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum	0	1	58	0	273	223	63	31	10	5	424	8	31	83	138	7	0	7	0	47	190	99	39	5	4	0	8	458	17	31	47	261	108	10	17	0	33	770	146	46	27	0	326	124	75	5	0	3	0	1	194	22	1	46	2
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Lensia;Lensia cossack	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	24	2	382	74	1049	790	496	486	115	55	114	111	387	195	124	47	670	62	0	604	581	169	322	53	115	0	127	3020	406	270	432	852	655	1119	123	2	95	1788	342	216	197	3	1265	382	247	56	0	36	0	23	684	71	0	384	14
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae	0	2	29	31	32	1	0	0	0	0	0	0	30	16	5	0	0	0	0	15	1	0	15	22	0	0	2	34	0	0	0	38	8	8	0	0	12	22	95	0	21	0	139	1	97	15	0	4	0	2	0	4	0	0	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	128	2	484	301	795	1057	667	11631	638	688	1136	7059	6052	2213	1049	794	190	374	1	11988	1292	3452	1277	1561	1109	0	793	1931	9696	5136	2775	13181	1189	4354	736	64	257	1370	3811	480	972	31	2595	911	1023	607	0	737	0	237	1048	615	15	808	391
Eukaryota;NA;Cryptophyceae	52	3	618	362	1098	818	402	826	422	803	72	630	478	187	220	407	327	118	0	1160	557	456	820	726	148	0	412	805	615	1020	937	2126	348	1750	156	6	256	996	673	383	341	2	2248	756	643	560	0	18	0	433	1197	66	1	751	117
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae	6	1	12	3	56	22	5	1	1	1	0	0	1	5	0	1	0	4	0	0	9	3	11	19	2	0	0	48	1	1	15	4	14	2	6	1	4	9	13	16	3	0	15	5	15	0	0	0	0	2	94	2	0	59	1
Eukaryota;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax amphioxeia	15	3	289	149	436	200	118	281	163	368	25	176	173	54	512	209	169	193	0	339	134	124	334	2783	41	0	216	357	225	324	269	536	87	347	59	2	86	322	229	104	97	0	674	235	336	284	0	1158	0	257	370	21	0	271	62
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas	13	1	143	114	209	178	644	68	34	37	11	48	45	50	23	40	15	39	0	365	133	85	262	36	21	0	186	265	68	317	313	374	74	50	70	6	84	177	205	86	91	0	394	153	177	17	0	3	0	33	228	9	1	193	7
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodiniellum;Gyrodiniellum shiwhaense	33	3	849	148	1059	1502	1174	115	25	50	1205	140	104	116	113	36	461	102	0	370	657	304	1226	1659	30	0	109	1652	98	495	884	1853	336	1471	1470	7	623	2234	966	544	343	2	2485	769	1227	63	0	1173	0	243	1190	32	2	992	172
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp.	260	6	1193	370	3030	4214	872	547	181	271	2921	257	403	259	550	172	1694	974	0	1188	1778	347	4202	5393	99	0	589	4212	437	597	6298	1386	799	352	925	8	492	2990	2923	1004	776	6	3624	1337	1057	191	0	16	0	1181	2925	75	1	1912	1187
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona	0	2	1179	0	2405	0	39	0	0	3	64	1	38	0	0	0	0	0	0	0	0	0	106	0	0	0	1905	165	1	0	2662	6	0	278	31	71	0	0	1	157	55	0	0	0	682	0	0	0	0	67	0	0	0	7	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;Strobilidium sp.	19	5	985	49	1527	1051	500	22	50	29	52	5	227	174	0	82	2	417	0	4	805	241	1084	1504	40	0	7	2526	8	84	1861	410	349	49	537	2	269	808	908	1174	310	1	1709	430	715	37	0	7	0	483	1748	48	0	1039	34
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;Calanus	0	1	0	1	0	1	0	0	699	0	0	2422	0	0	0	0	2	237	0	0	1	3	1107	0	0	0	1	0	1	0	5	11	213	0	0	94	0	1	1	0	1	0	5	1673	0	0	0	487	0	0	0	0	0	1	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus granii	30	5	844	0	880	494	626	0	10	0	0	0	1	134	0	0	0	32	0	0	325	313	73	941	0	0	0	1091	0	1	113	631	165	11	117	0	249	1165	107	982	673	1	1277	865	816	0	0	276	0	0	1422	43	0	415	0
Bacteria;Pseudomonadota;Alphaproteobacteria	6	1	36	22	77	98	34	349	64	29	225	85	308	86	74	21	39	53	0	299	86	31	25	178	67	0	34	178	222	110	64	146	56	87	45	1	6	168	65	42	42	1	159	27	27	40	0	117	0	14	81	26	0	54	46
Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva	30	1	30	47	41	59	49	522	51	34	224	231	433	101	31	47	86	40	0	608	44	47	129	124	67	0	56	132	362	615	570	366	41	93	47	8	11	80	77	28	107	0	98	44	44	28	0	46	0	6	47	26	1	69	6
Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia duriuscula	6	1	6	1	11	8	19	9	4	0	1	3	7	19	1	0	0	13	0	14	31	21	27	29	1	0	1	43	2	12	74	145	13	3	3	0	5	16	37	22	61	0	37	6	13	0	0	3	0	0	22	0	0	35	0
