18S_Euk_seq_number	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1h-S94
Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura dioica	27	531	172	43	0	229	57	274	209	40	15	15	30	2	67	27	1	221	56	99	3	0	0	1	604	48	343	94	212	10	95	20	321	59	210	33	64	364	47	2	568	246	542	15	34	67	365	0	415	202	0	742	220	145	86
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Pyuridae	0	3	2	0	0	3	0	1	1	1	0	0	0	1	0	5	0	1	0	1	0	0	0	0	3	1	2	0	1	0	1	0	6	0	3	0	0	3	0	0	10	0	7	0	1	0	9	0	0	9	0	9	3	3	0
Eukaryota	11974	13537	34465	11074	8	15636	17706	46523	11154	9024	25042	3424	102176	83	49320	16310	1887	15868	23065	8044	5453	104	1	499	22592	100777	17941	41343	26810	3468	4672	19812	45902	127270	27265	66052	60693	21656	79690	9363	45844	15246	31501	35525	8985	62574	29027	1	19649	30422	0	121371	18393	19039	12862
Eukaryota;Bacillariophyta	1318	1875	6501	4290	0	1336	2067	11122	721	370	1218	189	9813	5	4045	1164	34	858	1225	264	222	45	0	16	1729	8110	1803	4867	2885	362	1543	7487	2496	3503	1128	11831	4041	1684	13652	2191	5211	3568	4579	1984	488	4987	1369	0	2126	5711	0	11809	2682	4668	637
Eukaryota;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis globosa	6	20	16	6	0	37	2	31	29	16	6	3	29	1	3	68	0	44	7	13	1	0	0	0	46	36	23	14	27	3	9	162	54	65	28	29	10	19	50	1	88	10	53	16	9	7	19	0	27	38	0	116	17	12	13
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae	0	0	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Takayama;Takayama cf. pulchellum	6	165	64	17	0	80	4	58	68	1698	21	7	51	1	26	25	2	144	7	41	10	0	0	0	170	99	54	27	106	5	42	9	132	102	105	50	50	110	54	2	389	335	209	24	68	13	84	0	164	228	0	294	113	73	19
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Diphyes;Diphyes chamissonis	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata	0	12	32	12	0	7	3	330	4	8	9	1	45	12	7	5	2	18	57	3	2	0	0	0	28	23	51	13	26	55	0	7	61	59	23	34	11	9	33	1	16	5	7	8	10	6	7	0	47	11	0	268	24	17	9
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp.	95	5348	531	153	0	1587	1722	505	1553	511	229	296	317	9	5906	583	17	2327	205	734	1500	6	0	3	4695	1732	958	349	3955	1207	1107	2953	7257	961	5058	541	436	1726	666	220	5498	1286	4101	309	774	220	1760	0	3870	5028	0	2427	2323	1136	1003
